DATAFLOW,REF_AREA,FREQ,TIME_PERIOD,COMMODITY,MEASURE,OBS_VALUE,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,DECIMALS
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2020,WT,PP,375.284,A,0,XDC_T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2021,WT,PP,347.67,A,0,XDC_T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2022,WT,PP,319.352,A,0,XDC_T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2023,WT,PP,324.33,A,0,XDC_T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2024,WT,PP,328.17,A,0,XDC_T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2020,WT,FO_PC,83.53,A,0,KG_PS,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2021,WT,FO_PC,83.778,A,0,KG_PS,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2022,WT,FO_PC,83.893,A,0,KG_PS,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2023,WT,FO_PC,84.078,A,0,KG_PS,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2024,WT,FO_PC,84.203,A,0,KG_PS,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2020,WT,ECOE_TOT,6.27,A,6,T_CO2E,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2021,WT,ECOE_TOT,5.615,A,6,T_CO2E,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2022,WT,ECOE_TOT,5.597,A,6,T_CO2E,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2023,WT,ECOE_TOT,5.632,A,6,T_CO2E,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2024,WT,ECOE_TOT,5.667,A,6,T_CO2E,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2020,WT,FO_DES_TOT,596.933,A,0,KCAL_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2021,WT,FO_DES_TOT,597.388,A,0,KCAL_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2022,WT,FO_DES_TOT,597.878,A,0,KCAL_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2023,WT,FO_DES_TOT,598.736,A,0,KCAL_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2024,WT,FO_DES_TOT,599.894,A,0,KCAL_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2020,WT,FO_DFS_PROT,19.137,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2021,WT,FO_DFS_PROT,19.151,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2022,WT,FO_DFS_PROT,19.167,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2023,WT,FO_DFS_PROT,19.195,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2024,WT,FO_DFS_PROT,19.232,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2020,WT,FO_DFS_FAT,2.496,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2021,WT,FO_DFS_FAT,2.498,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2022,WT,FO_DFS_FAT,2.5,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2023,WT,FO_DFS_FAT,2.504,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),AUS,A,2024,WT,FO_DFS_FAT,2.509,A,0,G_PS_D,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,QP,35188.181,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,QP,34110.133,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,QP,34953.013,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,QP,35348.466,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,QP,35974.698,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,QP_ET,360.657,A,6,L,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,QP_ET,385.947,A,6,L,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,QP_ET,390.383,A,6,L,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,QP_ET,395.016,A,6,L,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,QP_ET,398.336,A,6,L,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,IM,130,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,IM,150,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,IM,114.356,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,IM,115.868,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,IM,122.68,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,QC,8885.661,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,QC,8825.152,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,QC,8791.296,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,QC,8845.843,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,QC,9050.039,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,ST,6800,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,ST,6125.328,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,ST,5981.994,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,ST,6198.048,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,ST,6389.064,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,EX,25131.72,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,EX,26109.653,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,EX,26419.407,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,EX,26402.437,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,EX,26856.323,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,AH,10018.344,A,3,HA,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,AH,10062.008,A,3,HA,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2022,WT,AH,10010.885,A,3,HA,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2023,WT,AH,10017.451,A,3,HA,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2024,WT,AH,10096.241,A,3,HA,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2020,WT,FE,4350.2,A,3,T,2
OECD.TAD.ATM:DSD_AGR@OUTLOOK_2021_2030(1.0),CAN,A,2021,WT,FE,4410.703,A,3,T,2
